ISO3,Region
AFG,Central Asia
AZE,Central Asia
KAZ,Central Asia
KGZ,Central Asia
MNG,Central Asia
PAK,Central Asia
TJK,Central Asia
TKM,Central Asia
UZB,Central Asia
ALB,Central and Eastern Europe
ARM,Central and Eastern Europe
BGR,Central and Eastern Europe
BIH,Central and Eastern Europe
BLR,Central and Eastern Europe
CZE,Central and Eastern Europe
EST,Central and Eastern Europe
GEO,Central and Eastern Europe
HRV,Central and Eastern Europe
HUN,Central and Eastern Europe
LTU,Central and Eastern Europe
LVA,Central and Eastern Europe
MDA,Central and Eastern Europe
MKD,Central and Eastern Europe
MNE,Central and Eastern Europe
POL,Central and Eastern Europe
ROU,Central and Eastern Europe
RUS,Central and Eastern Europe
SRB,Central and Eastern Europe
SVK,Central and Eastern Europe
SVN,Central and Eastern Europe
UKR,Central and Eastern Europe
CHN,China
IND,India
ARG,Latin America and Caribbean
BHS,Latin America and Caribbean
BLZ,Latin America and Caribbean
BOL,Latin America and Caribbean
BRA,Latin America and Caribbean
CHL,Latin America and Caribbean
COL,Latin America and Caribbean
CRI,Latin America and Caribbean
CUB,Latin America and Caribbean
DOM,Latin America and Caribbean
ECU,Latin America and Caribbean
GTM,Latin America and Caribbean
GUY,Latin America and Caribbean
HND,Latin America and Caribbean
HTI,Latin America and Caribbean
JAM,Latin America and Caribbean
MEX,Latin America and Caribbean
NIC,Latin America and Caribbean
PAN,Latin America and Caribbean
PER,Latin America and Caribbean
PRY,Latin America and Caribbean
SLV,Latin America and Caribbean
SUR,Latin America and Caribbean
TTO,Latin America and Caribbean
URY,Latin America and Caribbean
VEN,Latin America and Caribbean
ARE,Middle East and North Africa
BHR,Middle East and North Africa
DZA,Middle East and North Africa
EGY,Middle East and North Africa
IRN,Middle East and North Africa
IRQ,Middle East and North Africa
ISR,Middle East and North Africa
JOR,Middle East and North Africa
KWT,Middle East and North Africa
LBN,Middle East and North Africa
LBY,Middle East and North Africa
MAR,Middle East and North Africa
OMN,Middle East and North Africa
QAT,Middle East and North Africa
SAU,Middle East and North Africa
SYR,Middle East and North Africa
TUN,Middle East and North Africa
TUR,Middle East and North Africa
YEM,Middle East and North Africa
AUT,North Atlantic
BEL,North Atlantic
CAN,North Atlantic
CHE,North Atlantic
CYP,North Atlantic
DEU,North Atlantic
DNK,North Atlantic
ESP,North Atlantic
FIN,North Atlantic
FRA,North Atlantic
GBR,North Atlantic
GRC,North Atlantic
IRL,North Atlantic
ISL,North Atlantic
ITA,North Atlantic
LUX,North Atlantic
MLT,North Atlantic
NLD,North Atlantic
NOR,North Atlantic
PRT,North Atlantic
SWE,North Atlantic
AGO,Sub-Saharan Africa
BDI,Sub-Saharan Africa
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
BWA,Sub-Saharan Africa
CAF,Sub-Saharan Africa
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COM,Sub-Saharan Africa
CPV,Sub-Saharan Africa
DJI,Sub-Saharan Africa
ERI,Sub-Saharan Africa
ETH,Sub-Saharan Africa
GAB,Sub-Saharan Africa
GHA,Sub-Saharan Africa
GIN,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
KEN,Sub-Saharan Africa
LBR,Sub-Saharan Africa
LSO,Sub-Saharan Africa
MDG,Sub-Saharan Africa
MLI,Sub-Saharan Africa
MOZ,Sub-Saharan Africa
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
NAM,Sub-Saharan Africa
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
RWA,Sub-Saharan Africa
SDN,Sub-Saharan Africa
SEN,Sub-Saharan Africa
SLE,Sub-Saharan Africa
SOM,Sub-Saharan Africa
SSD,Sub-Saharan Africa
SWZ,Sub-Saharan Africa
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
USA,United States
AUS,Western Pacific and Southeast Asia
BGD,Western Pacific and Southeast Asia
BRN,Western Pacific and Southeast Asia
BTN,Western Pacific and Southeast Asia
FJI,Western Pacific and Southeast Asia
IDN,Western Pacific and Southeast Asia
JPN,Western Pacific and Southeast Asia
KHM,Western Pacific and Southeast Asia
KOR,Western Pacific and Southeast Asia
LAO,Western Pacific and Southeast Asia
LKA,Western Pacific and Southeast Asia
MDV,Western Pacific and Southeast Asia
MMR,Western Pacific and Southeast Asia
MYS,Western Pacific and Southeast Asia
NPL,Western Pacific and Southeast Asia
NZL,Western Pacific and Southeast Asia
PHL,Western Pacific and Southeast Asia
PNG,Western Pacific and Southeast Asia
PRK,Western Pacific and Southeast Asia
SGP,Western Pacific and Southeast Asia
SLB,Western Pacific and Southeast Asia
THA,Western Pacific and Southeast Asia
TLS,Western Pacific and Southeast Asia
VNM,Western Pacific and Southeast Asia
VUT,Western Pacific and Southeast Asia
