"Country or Area","Year","Item","Value"
"Afghanistan","2023","Gross National Income (GNI)","16465494323.8061"
"Albania","2023","Gross National Income (GNI)","22656063843.6783"
"Algeria","2023","Gross National Income (GNI)","244041402718.042"
"Andorra","2023","Gross National Income (GNI)","3785067331.88242"
"Angola","2023","Gross National Income (GNI)","86295279920.5793"
"Anguilla","2023","Gross National Income (GNI)","380949017.037037"
"Antigua and Barbuda","2023","Gross National Income (GNI)","1940100000"
"Argentina","2023","Gross National Income (GNI)","632729881922.31"
"Armenia","2023","Gross National Income (GNI)","23509495686.6661"
"Aruba","2023","Gross National Income (GNI)","3500978021.78771"
"Australia","2023","Gross National Income (GNI)","1715208161272.31"
"Austria","2023","Gross National Income (GNI)","511893312471.235"
"Azerbaijan","2023","Gross National Income (GNI)","71898380575.8824"
"Bahamas","2023","Gross National Income (GNI)","13740992774"
"Bahrain","2023","Gross National Income (GNI)","42042724680.8511"
"Bangladesh","2023","Gross National Income (GNI)","439291021949.823"
"Barbados","2023","Gross National Income (GNI)","6440070372"
"Belarus","2023","Gross National Income (GNI)","69413500922.7393"
"Belgium","2023","Gross National Income (GNI)","653552385885.698"
"Belize","2023","Gross National Income (GNI)","2974349454"
"Benin","2023","Gross National Income (GNI)","19506291022.6739"
"Bermuda","2023","Gross National Income (GNI)","8339059228"
"Bhutan","2023","Gross National Income (GNI)","2852965820.15008"
"Bolivia (Plurinational State of)","2023","Gross National Income (GNI)","44070210561.2156"
"Bosnia and Herzegovina","2023","Gross National Income (GNI)","27309753606.276"
"Botswana","2023","Gross National Income (GNI)","18836819367.9937"
"Brazil","2023","Gross National Income (GNI)","2121606070856.69"
"British Virgin Islands","2023","Gross National Income (GNI)","1374348343"
"Brunei Darussalam","2023","Gross National Income (GNI)","14793068923.8357"
"Bulgaria","2023","Gross National Income (GNI)","97386521402.6422"
"Burkina Faso","2023","Gross National Income (GNI)","19484760470.7194"
"Burundi","2023","Gross National Income (GNI)","3969007752.5642"
"Cabo Verde","2023","Gross National Income (GNI)","2581587918.42574"
"Cambodia","2023","Gross National Income (GNI)","36428542131.7853"
"Cameroon","2023","Gross National Income (GNI)","48259672038.0449"
"Canada","2023","Gross National Income (GNI)","2112732605610.04"
"Cayman Islands","2023","Gross National Income (GNI)","5019410245.64098"
"Central African Republic","2023","Gross National Income (GNI)","2706537361.86307"
"Chad","2023","Gross National Income (GNI)","17384584796.0249"
"Chile","2023","Gross National Income (GNI)","318450116195.796"
"China (mainland)","2023","Gross National Income (GNI)","17645269313790.4"
"China, Hong Kong SAR","2023","Gross National Income (GNI)","414999733915.172"
"China, Macao Special Administrative Region","2023","Gross National Income (GNI)","53539836032.2826"
"Colombia","2023","Gross National Income (GNI)","358937159540.495"
"Comoros","2023","Gross National Income (GNI)","1450915942.5946"
"Congo","2023","Gross National Income (GNI)","13394297713.6226"
"Cook Islands","2023","Gross National Income (GNI)","366211548.11373"
"Costa Rica","2023","Gross National Income (GNI)","80514709027.6403"
"Côte d'Ivoire","2023","Gross National Income (GNI)","75606107316.5216"
"Croatia","2023","Gross National Income (GNI)","84466179552.4559"
"Cuba","2023","Gross National Income (GNI)","198580429043"
"Curaçao","2023","Gross National Income (GNI)","3310049075.41899"
"Cyprus","2023","Gross National Income (GNI)","30644246064.5437"
"Czechia","2023","Gross National Income (GNI)","338336553080.784"
"Democratic People's Republic of Korea","2023","Gross National Income (GNI)","16719022911.7636"
"Democratic Republic of the Congo","2023","Gross National Income (GNI)","68089256283.5649"
"Denmark","2023","Gross National Income (GNI)","418673805445.712"
"Djibouti","2023","Gross National Income (GNI)","4076632586.70613"
"Dominica","2023","Gross National Income (GNI)","652658091.111111"
"Dominican Republic","2023","Gross National Income (GNI)","115914308910.958"
"Ecuador","2023","Gross National Income (GNI)","117027926035"
"Egypt","2023","Gross National Income (GNI)","317085365506.713"
"El Salvador","2023","Gross National Income (GNI)","31873984897"
"Equatorial Guinea","2023","Gross National Income (GNI)","11245510978.4393"
"Eritrea","2023","Gross National Income (GNI)","2249345906.00332"
"Estonia","2023","Gross National Income (GNI)","39999694715.8831"
"Ethiopia","2023","Gross National Income (GNI)","159343002029.385"
"Fiji","2023","Gross National Income (GNI)","5163524687.73957"
"Finland","2023","Gross National Income (GNI)","297129375017.652"
"France","2023","Gross National Income (GNI)","3108878479154.17"
"French Polynesia","2023","Gross National Income (GNI)","6397989106.29999"
"Gabon","2023","Gross National Income (GNI)","18007884480.842"
"Gambia","2023","Gross National Income (GNI)","2369756123.17889"
"Georgia","2023","Gross National Income (GNI)","28505428915.2226"
"Germany","2023","Gross National Income (GNI)","4636236589068.71"
